card,wins
2♣ 2♦,19
2♣ 2♠,17
2♣ 3♥,5
2♣ 3♦,8
2♣ 3♣,12
2♣ 3♠,4
2♣ 4♥,6
2♣ 4♦,4
2♣ 4♣,8
2♣ 4♠,8
2♣ 5♥,4
2♣ 5♦,8
2♣ 5♣,13
2♣ 5♠,7
2♣ 6♥,6
2♣ 6♦,12
2♣ 6♣,13
2♣ 6♠,10
2♣ 7♥,4
2♣ 7♦,7
2♣ 7♣,11
2♣ 7♠,3
2♣ 8♥,6
2♣ 8♦,6
2♣ 8♣,12
2♣ 8♠,9
2♣ 9♥,5
2♣ 9♦,6
2♣ 9♣,9
2♣ 9♠,10
2♣ T♥,8
2♣ T♦,8
2♣ T♣,8
2♣ T♠,5
2♣ J♥,8
2♣ J♦,5
2♣ J♣,11
2♣ J♠,11
2♣ Q♥,7
2♣ Q♦,7
2♣ Q♣,13
2♣ Q♠,11
2♣ K♥,11
2♣ K♦,12
2♣ K♣,13
2♣ K♠,13
2♣ A♥,12
2♣ A♦,8
2♣ A♣,23
2♣ A♠,8
2♠ 2♥,17
2♠ 2♦,17
2♠ 2♣,16
2♠ 3♥,11
2♠ 3♦,1
2♠ 3♣,5
2♠ 3♠,10
2♠ 4♥,5
2♠ 4♦,5
2♠ 4♣,9
2♠ 4♠,13
2♠ 5♥,7
2♠ 5♦,11
2♠ 5♣,4
2♠ 5♠,10
2♠ 6♥,9
2♠ 6♦,6
2♠ 6♣,6
2♠ 6♠,11
2♠ 7♥,9
2♠ 7♦,11
2♠ 7♣,5
2♠ 7♠,9
2♠ 8♥,7
2♠ 8♦,9
2♠ 8♣,4
2♠ 8♠,13
2♠ 9♥,11
2♠ 9♦,10
2♠ 9♣,8
2♠ 9♠,13
2♠ T♥,12
2♠ T♦,12
2♠ T♣,11
2♠ T♠,8
2♠ J♥,9
2♠ J♦,10
2♠ J♣,8
2♠ J♠,13
2♠ Q♥,14
2♠ Q♦,9
2♠ Q♣,9
2♠ Q♠,10
2♠ K♥,14
2♠ K♦,12
2♠ K♣,12
2♠ K♠,19
2♠ A♥,19
2♠ A♦,12
2♠ A♣,7
2♠ A♠,18
3♥ 2♥,11
3♥ 2♦,6
3♥ 2♣,7
3♥ 2♠,11
3♥ 3♦,17
3♥ 3♣,16
3♥ 3♠,14
3♥ 4♥,15
3♥ 4♦,8
3♥ 4♣,7
3♥ 4♠,11
3♥ 5♥,8
3♥ 5♦,9
3♥ 5♣,6
3♥ 5♠,7
3♥ 6♥,10
3♥ 6♦,9
3♥ 6♣,9
3♥ 6♠,13
3♥ 7♥,16
3♥ 7♦,7
3♥ 7♣,7
3♥ 7♠,6
3♥ 8♥,15
3♥ 8♦,6
3♥ 8♣,9
3♥ 8♠,6
3♥ 9♥,15
3♥ 9♦,10
3♥ 9♣,12
3♥ 9♠,11
3♥ T♥,13
3♥ T♦,8
3♥ T♣,6
3♥ T♠,8
3♥ J♥,19
3♥ J♦,9
3♥ J♣,12
3♥ J♠,12
3♥ Q♥,17
3♥ Q♦,10
3♥ Q♣,17
3♥ Q♠,13
3♥ K♥,18
3♥ K♦,9
3♥ K♣,9
3♥ K♠,15
3♥ A♥,17
3♥ A♦,11
3♥ A♣,11
3♥ A♠,15
3♦ 2♥,8
3♦ 2♦,18
3♦ 2♣,6
3♦ 2♠,5
3♦ 3♥,14
3♦ 3♣,11
3♦ 3♠,12
3♦ 4♥,7
3♦ 4♦,12
3♦ 4♣,7
3♦ 4♠,10
3♦ 5♥,6
3♦ 5♦,10
3♦ 5♣,10
3♦ 5♠,4
3♦ 6♥,10
3♦ 6♦,9
3♦ 6♣,12
3♦ 6♠,7
3♦ 7♥,5
3♦ 7♦,14
3♦ 7♣,13
3♦ 7♠,7
3♦ 8♥,3
3♦ 8♦,16
3♦ 8♣,6
3♦ 8♠,6
3♦ 9♥,8
3♦ 9♦,14
3♦ 9♣,7
3♦ 9♠,8
3♦ T♥,4
3♦ T♦,15
3♦ T♣,4
3♦ T♠,7
3♦ J♥,7
3♦ J♦,14
3♦ J♣,16
3♦ J♠,10
3♦ Q♥,6
3♦ Q♦,16
3♦ Q♣,10
3♦ Q♠,14
3♦ K♥,12
3♦ K♦,17
3♦ K♣,12
3♦ K♠,7
3♦ A♥,17
3♦ A♦,25
3♦ A♣,14
3♦ A♠,10
3♣ 2♥,7
3♣ 2♦,6
3♣ 2♣,12
3♣ 2♠,8
3♣ 3♥,22
3♣ 3♦,16
3♣ 3♠,15
3♣ 4♥,7
3♣ 4♦,7
3♣ 4♣,12
3♣ 4♠,10
3♣ 5♥,9
3♣ 5♦,16
3♣ 5♣,10
3♣ 5♠,7
3♣ 6♥,10
3♣ 6♦,6
3♣ 6♣,14
3♣ 6♠,6
3♣ 7♥,5
3♣ 7♦,7
3♣ 7♣,7
3♣ 7♠,11
3♣ 8♥,6
3♣ 8♦,8
3♣ 8♣,11
3♣ 8♠,7
3♣ 9♥,8
3♣ 9♦,11
3♣ 9♣,5
3♣ 9♠,6
3♣ T♥,9
3♣ T♦,10
3♣ T♣,7
3♣ T♠,10
3♣ J♥,9
3♣ J♦,11
3♣ J♣,13
3♣ J♠,12
3♣ Q♥,8
3♣ Q♦,4
3♣ Q♣,19
3♣ Q♠,7
3♣ K♥,15
3♣ K♦,14
3♣ K♣,17
3♣ K♠,9
3♣ A♥,13
3♣ A♦,10
3♣ A♣,20
3♣ A♠,10
3♠ 2♥,2
3♠ 2♦,6
3♠ 2♣,4
3♠ 2♠,9
3♠ 3♥,18
3♠ 3♦,20
3♠ 3♣,15
3♠ 4♥,11
3♠ 4♦,8
3♠ 4♣,4
3♠ 4♠,7
3♠ 5♥,11
3♠ 5♦,9
3♠ 5♣,9
3♠ 5♠,13
3♠ 6♥,14
3♠ 6♦,6
3♠ 6♣,12
3♠ 6♠,20
3♠ 7♥,7
3♠ 7♦,10
3♠ 7♣,5
3♠ 7♠,11
3♠ 8♥,12
3♠ 8♦,9
3♠ 8♣,6
3♠ 8♠,17
3♠ 9♥,5
3♠ 9♦,12
3♠ 9♣,9
3♠ 9♠,11
3♠ T♥,11
3♠ T♦,7
3♠ T♣,9
3♠ T♠,15
3♠ J♥,8
3♠ J♦,11
3♠ J♣,8
3♠ J♠,9
3♠ Q♥,10
3♠ Q♦,10
3♠ Q♣,13
3♠ Q♠,18
3♠ K♥,12
3♠ K♦,17
3♠ K♣,12
3♠ K♠,24
3♠ A♥,15
3♠ A♦,11
3♠ A♣,11
3♠ A♠,21
4♥ 2♥,12
4♥ 2♦,10
4♥ 2♣,10
4♥ 2♠,7
4♥ 3♥,8
4♥ 3♦,9
4♥ 3♣,10
4♥ 3♠,10
4♥ 4♦,21
4♥ 4♣,13
4♥ 4♠,16
4♥ 5♥,14
4♥ 5♦,9
4♥ 5♣,9
4♥ 5♠,13
4♥ 6♥,19
4♥ 6♦,12
4♥ 6♣,12
4♥ 6♠,10
4♥ 7♥,11
4♥ 7♦,11
4♥ 7♣,14
4♥ 7♠,6
4♥ 8♥,12
4♥ 8♦,10
4♥ 8♣,8
4♥ 8♠,11
4♥ 9♥,14
4♥ 9♦,14
4♥ 9♣,10
4♥ 9♠,9
4♥ T♥,11
4♥ T♦,10
4♥ T♣,9
4♥ T♠,11
4♥ J♥,7
4♥ J♦,6
4♥ J♣,10
4♥ J♠,5
4♥ Q♥,16
4♥ Q♦,13
4♥ Q♣,8
4♥ Q♠,11
4♥ K♥,15
4♥ K♦,11
4♥ K♣,8
4♥ K♠,16
4♥ A♥,23
4♥ A♦,8
4♥ A♣,14
4♥ A♠,17
4♦ 2♥,13
4♦ 2♦,15
4♦ 2♣,7
4♦ 2♠,6
4♦ 3♥,6
4♦ 3♦,7
4♦ 3♣,5
4♦ 3♠,5
4♦ 4♥,15
4♦ 4♣,15
4♦ 4♠,16
4♦ 5♥,10
4♦ 5♦,6
4♦ 5♣,13
4♦ 5♠,17
4♦ 6♥,8
4♦ 6♦,19
4♦ 6♣,19
4♦ 6♠,9
4♦ 7♥,10
4♦ 7♦,14
4♦ 7♣,9
4♦ 7♠,6
4♦ 8♥,10
4♦ 8♦,12
4♦ 8♣,6
4♦ 8♠,5
4♦ 9♥,5
4♦ 9♦,16
4♦ 9♣,9
4♦ 9♠,8
4♦ T♥,9
4♦ T♦,11
4♦ T♣,12
4♦ T♠,5
4♦ J♥,14
4♦ J♦,8
4♦ J♣,13
4♦ J♠,8
4♦ Q♥,15
4♦ Q♦,14
4♦ Q♣,11
4♦ Q♠,11
4♦ K♥,11
4♦ K♦,18
4♦ K♣,12
4♦ K♠,11
4♦ A♥,14
4♦ A♦,22
4♦ A♣,14
4♦ A♠,15
4♣ 2♥,8
4♣ 2♦,7
4♣ 2♣,9
4♣ 2♠,7
4♣ 3♥,6
4♣ 3♦,7
4♣ 3♣,13
4♣ 3♠,5
4♣ 4♥,12
4♣ 4♦,14
4♣ 4♠,19
4♣ 5♥,11
4♣ 5♦,5
4♣ 5♣,20
4♣ 5♠,5
4♣ 6♥,8
4♣ 6♦,11
4♣ 6♣,14
4♣ 6♠,7
4♣ 7♥,8
4♣ 7♦,11
4♣ 7♣,16
4♣ 7♠,13
4♣ 8♥,12
4♣ 8♦,14
4♣ 8♣,15
4♣ 8♠,7
4♣ 9♥,11
4♣ 9♦,9
4♣ 9♣,9
4♣ 9♠,9
4♣ T♥,8
4♣ T♦,7
4♣ T♣,15
4♣ T♠,8
4♣ J♥,8
4♣ J♦,8
4♣ J♣,11
4♣ J♠,9
4♣ Q♥,9
4♣ Q♦,6
4♣ Q♣,9
4♣ Q♠,5
4♣ K♥,14
4♣ K♦,14
4♣ K♣,17
4♣ K♠,14
4♣ A♥,10
4♣ A♦,14
4♣ A♣,22
4♣ A♠,9
4♠ 2♥,7
4♠ 2♦,11
4♠ 2♣,8
4♠ 2♠,18
4♠ 3♥,9
4♠ 3♦,11
4♠ 3♣,10
4♠ 3♠,8
4♠ 4♥,17
4♠ 4♦,16
4♠ 4♣,20
4♠ 5♥,11
4♠ 5♦,10
4♠ 5♣,10
4♠ 5♠,21
4♠ 6♥,14
4♠ 6♦,8
4♠ 6♣,8
4♠ 6♠,12
4♠ 7♥,7
4♠ 7♦,12
4♠ 7♣,5
4♠ 7♠,11
4♠ 8♥,9
4♠ 8♦,9
4♠ 8♣,6
4♠ 8♠,11
4♠ 9♥,13
4♠ 9♦,8
4♠ 9♣,9
4♠ 9♠,17
4♠ T♥,13
4♠ T♦,10
4♠ T♣,11
4♠ T♠,7
4♠ J♥,7
4♠ J♦,8
4♠ J♣,11
4♠ J♠,9
4♠ Q♥,9
4♠ Q♦,11
4♠ Q♣,5
4♠ Q♠,18
4♠ K♥,11
4♠ K♦,8
4♠ K♣,10
4♠ K♠,17
4♠ A♥,13
4♠ A♦,17
4♠ A♣,5
4♠ A♠,9
5♥ 2♥,14
5♥ 2♦,12
5♥ 2♣,8
5♥ 2♠,8
5♥ 3♥,13
5♥ 3♦,2
5♥ 3♣,5
5♥ 3♠,12
5♥ 4♥,25
5♥ 4♦,15
5♥ 4♣,15
5♥ 4♠,11
5♥ 5♦,14
5♥ 5♣,15
5♥ 5♠,14
5♥ 6♥,19
5♥ 6♦,15
5♥ 6♣,13
5♥ 6♠,13
5♥ 7♥,16
5♥ 7♦,9
5♥ 7♣,8
5♥ 7♠,9
5♥ 8♥,12
5♥ 8♦,8
5♥ 8♣,9
5♥ 8♠,14
5♥ 9♥,19
5♥ 9♦,9
5♥ 9♣,10
5♥ 9♠,10
5♥ T♥,13
5♥ T♦,8
5♥ T♣,13
5♥ T♠,11
5♥ J♥,14
5♥ J♦,13
5♥ J♣,13
5♥ J♠,15
5♥ Q♥,24
5♥ Q♦,14
5♥ Q♣,10
5♥ Q♠,12
5♥ K♥,23
5♥ K♦,13
5♥ K♣,16
5♥ K♠,15
5♥ A♥,12
5♥ A♦,16
5♥ A♣,13
5♥ A♠,15
5♦ 2♥,5
5♦ 2♦,20
5♦ 2♣,10
5♦ 2♠,9
5♦ 3♥,4
5♦ 3♦,14
5♦ 3♣,11
5♦ 3♠,7
5♦ 4♥,8
5♦ 4♦,9
5♦ 4♣,13
5♦ 4♠,20
5♦ 5♥,9
5♦ 5♣,16
5♦ 5♠,14
5♦ 6♥,18
5♦ 6♦,13
5♦ 6♣,13
5♦ 6♠,10
5♦ 7♥,6
5♦ 7♦,13
5♦ 7♣,11
5♦ 7♠,10
5♦ 8♥,7
5♦ 8♦,16
5♦ 8♣,10
5♦ 8♠,8
5♦ 9♥,6
5♦ 9♦,6
5♦ 9♣,12
5♦ 9♠,8
5♦ T♥,11
5♦ T♦,13
5♦ T♣,9
5♦ T♠,13
5♦ J♥,13
5♦ J♦,10
5♦ J♣,10
5♦ J♠,15
5♦ Q♥,13
5♦ Q♦,15
5♦ Q♣,13
5♦ Q♠,13
5♦ K♥,13
5♦ K♦,25
5♦ K♣,12
5♦ K♠,13
5♦ A♥,17
5♦ A♦,22
5♦ A♣,18
5♦ A♠,17
5♣ 2♥,8
5♣ 2♦,13
5♣ 2♣,13
5♣ 2♠,9
5♣ 3♥,8
5♣ 3♦,4
5♣ 3♣,16
5♣ 3♠,11
5♣ 4♥,18
5♣ 4♦,13
5♣ 4♣,20
5♣ 4♠,10
5♣ 5♥,18
5♣ 5♦,15
5♣ 5♠,13
5♣ 6♥,13
5♣ 6♦,10
5♣ 6♣,27
5♣ 6♠,8
5♣ 7♥,10
5♣ 7♦,16
5♣ 7♣,14
5♣ 7♠,16
5♣ 8♥,8
5♣ 8♦,14
5♣ 8♣,15
5♣ 8♠,10
5♣ 9♥,7
5♣ 9♦,13
5♣ 9♣,12
5♣ 9♠,9
5♣ T♥,8
5♣ T♦,12
5♣ T♣,20
5♣ T♠,11
5♣ J♥,12
5♣ J♦,8
5♣ J♣,15
5♣ J♠,7
5♣ Q♥,18
5♣ Q♦,11
5♣ Q♣,21
5♣ Q♠,9
5♣ K♥,14
5♣ K♦,16
5♣ K♣,11
5♣ K♠,6
5♣ A♥,20
5♣ A♦,13
5♣ A♣,17
5♣ A♠,12
5♠ 2♥,4
5♠ 2♦,5
5♠ 2♣,9
5♠ 2♠,10
5♠ 3♥,3
5♠ 3♦,9
5♠ 3♣,12
5♠ 3♠,11
5♠ 4♥,10
5♠ 4♦,11
5♠ 4♣,5
5♠ 4♠,16
5♠ 5♥,24
5♠ 5♦,17
5♠ 5♣,13
5♠ 6♥,15
5♠ 6♦,16
5♠ 6♣,7
5♠ 6♠,8
5♠ 7♥,9
5♠ 7♦,9
5♠ 7♣,10
5♠ 7♠,14
5♠ 8♥,9
5♠ 8♦,11
5♠ 8♣,12
5♠ 8♠,18
5♠ 9♥,6
5♠ 9♦,10
5♠ 9♣,10
5♠ 9♠,16
5♠ T♥,6
5♠ T♦,12
5♠ T♣,4
5♠ T♠,15
5♠ J♥,12
5♠ J♦,11
5♠ J♣,13
5♠ J♠,15
5♠ Q♥,9
5♠ Q♦,16
5♠ Q♣,21
5♠ Q♠,18
5♠ K♥,18
5♠ K♦,18
5♠ K♣,17
5♠ K♠,17
5♠ A♥,13
5♠ A♦,19
5♠ A♣,20
5♠ A♠,21
6♥ 2♥,16
6♥ 2♦,9
6♥ 2♣,9
6♥ 2♠,5
6♥ 3♥,13
6♥ 3♦,9
6♥ 3♣,9
6♥ 3♠,9
6♥ 4♥,7
6♥ 4♦,8
6♥ 4♣,11
6♥ 4♠,18
6♥ 5♥,25
6♥ 5♦,7
6♥ 5♣,14
6♥ 5♠,9
6♥ 6♦,20
6♥ 6♣,17
6♥ 6♠,18
6♥ 7♥,14
6♥ 7♦,13
6♥ 7♣,12
6♥ 7♠,13
6♥ 8♥,8
6♥ 8♦,13
6♥ 8♣,15
6♥ 8♠,10
6♥ 9♥,16
6♥ 9♦,10
6♥ 9♣,12
6♥ 9♠,11
6♥ T♥,13
6♥ T♦,10
6♥ T♣,13
6♥ T♠,9
6♥ J♥,13
6♥ J♦,12
6♥ J♣,12
6♥ J♠,13
6♥ Q♥,18
6♥ Q♦,15
6♥ Q♣,14
6♥ Q♠,9
6♥ K♥,16
6♥ K♦,11
6♥ K♣,22
6♥ K♠,16
6♥ A♥,15
6♥ A♦,19
6♥ A♣,8
6♥ A♠,13
6♦ 2♥,5
6♦ 2♦,15
6♦ 2♣,10
6♦ 2♠,3
6♦ 3♥,12
6♦ 3♦,12
6♦ 3♣,10
6♦ 3♠,9
6♦ 4♥,5
6♦ 4♦,10
6♦ 4♣,14
6♦ 4♠,11
6♦ 5♥,10
6♦ 5♦,8
6♦ 5♣,13
6♦ 5♠,8
6♦ 6♥,10
6♦ 6♣,21
6♦ 6♠,13
6♦ 7♥,17
6♦ 7♦,20
6♦ 7♣,13
6♦ 7♠,10
6♦ 8♥,14
6♦ 8♦,16
6♦ 8♣,8
6♦ 8♠,13
6♦ 9♥,18
6♦ 9♦,21
6♦ 9♣,13
6♦ 9♠,18
6♦ T♥,13
6♦ T♦,16
6♦ T♣,15
6♦ T♠,13
6♦ J♥,13
6♦ J♦,20
6♦ J♣,16
6♦ J♠,11
6♦ Q♥,15
6♦ Q♦,19
6♦ Q♣,14
6♦ Q♠,16
6♦ K♥,13
6♦ K♦,17
6♦ K♣,18
6♦ K♠,11
6♦ A♥,21
6♦ A♦,20
6♦ A♣,18
6♦ A♠,14
6♣ 2♥,10
6♣ 2♦,5
6♣ 2♣,15
6♣ 2♠,5
6♣ 3♥,10
6♣ 3♦,18
6♣ 3♣,14
6♣ 3♠,13
6♣ 4♥,12
6♣ 4♦,11
6♣ 4♣,12
6♣ 4♠,6
6♣ 5♥,12
6♣ 5♦,9
6♣ 5♣,11
6♣ 5♠,9
6♣ 6♥,17
6♣ 6♦,17
6♣ 6♠,20
6♣ 7♥,13
6♣ 7♦,16
6♣ 7♣,19
6♣ 7♠,18
6♣ 8♥,10
6♣ 8♦,15
6♣ 8♣,20
6♣ 8♠,12
6♣ 9♥,9
6♣ 9♦,11
6♣ 9♣,17
6♣ 9♠,14
6♣ T♥,16
6♣ T♦,7
6♣ T♣,15
6♣ T♠,15
6♣ J♥,14
6♣ J♦,14
6♣ J♣,11
6♣ J♠,13
6♣ Q♥,11
6♣ Q♦,8
6♣ Q♣,22
6♣ Q♠,12
6♣ K♥,15
6♣ K♦,10
6♣ K♣,21
6♣ K♠,13
6♣ A♥,14
6♣ A♦,26
6♣ A♣,18
6♣ A♠,18
6♠ 2♥,7
6♠ 2♦,11
6♠ 2♣,4
6♠ 2♠,15
6♠ 3♥,10
6♠ 3♦,12
6♠ 3♣,8
6♠ 3♠,12
6♠ 4♥,8
6♠ 4♦,10
6♠ 4♣,8
6♠ 4♠,5
6♠ 5♥,12
6♠ 5♦,10
6♠ 5♣,12
6♠ 5♠,9
6♠ 6♥,17
6♠ 6♦,21
6♠ 6♣,13
6♠ 7♥,15
6♠ 7♦,10
6♠ 7♣,16
6♠ 7♠,21
6♠ 8♥,13
6♠ 8♦,9
6♠ 8♣,9
6♠ 8♠,14
6♠ 9♥,16
6♠ 9♦,8
6♠ 9♣,5
6♠ 9♠,22
6♠ T♥,12
6♠ T♦,8
6♠ T♣,16
6♠ T♠,24
6♠ J♥,18
6♠ J♦,8
6♠ J♣,15
6♠ J♠,12
6♠ Q♥,16
6♠ Q♦,17
6♠ Q♣,20
6♠ Q♠,14
6♠ K♥,12
6♠ K♦,18
6♠ K♣,20
6♠ K♠,16
6♠ A♥,17
6♠ A♦,12
6♠ A♣,12
6♠ A♠,26
7♥ 2♥,13
7♥ 2♦,5
7♥ 2♣,6
7♥ 2♠,5
7♥ 3♥,13
7♥ 3♦,5
7♥ 3♣,10
7♥ 3♠,9
7♥ 4♥,8
7♥ 4♦,13
7♥ 4♣,9
7♥ 4♠,12
7♥ 5♥,18
7♥ 5♦,11
7♥ 5♣,12
7♥ 5♠,11
7♥ 6♥,19
7♥ 6♦,11
7♥ 6♣,8
7♥ 6♠,12
7♥ 7♦,15
7♥ 7♣,14
7♥ 7♠,20
7♥ 8♥,17
7♥ 8♦,12
7♥ 8♣,9
7♥ 8♠,15
7♥ 9♥,18
7♥ 9♦,18
7♥ 9♣,13
7♥ 9♠,12
7♥ T♥,24
7♥ T♦,13
7♥ T♣,18
7♥ T♠,16
7♥ J♥,19
7♥ J♦,15
7♥ J♣,19
7♥ J♠,11
7♥ Q♥,19
7♥ Q♦,15
7♥ Q♣,14
7♥ Q♠,16
7♥ K♥,21
7♥ K♦,17
7♥ K♣,25
7♥ K♠,20
7♥ A♥,21
7♥ A♦,16
7♥ A♣,23
7♥ A♠,20
7♦ 2♥,9
7♦ 2♦,12
7♦ 2♣,9
7♦ 2♠,7
7♦ 3♥,5
7♦ 3♦,13
7♦ 3♣,11
7♦ 3♠,3
7♦ 4♥,6
7♦ 4♦,13
7♦ 4♣,8
7♦ 4♠,11
7♦ 5♥,11
7♦ 5♦,20
7♦ 5♣,9
7♦ 5♠,11
7♦ 6♥,12
7♦ 6♦,17
7♦ 6♣,16
7♦ 6♠,11
7♦ 7♥,20
7♦ 7♣,20
7♦ 7♠,21
7♦ 8♥,14
7♦ 8♦,16
7♦ 8♣,17
7♦ 8♠,11
7♦ 9♥,13
7♦ 9♦,17
7♦ 9♣,14
7♦ 9♠,12
7♦ T♥,11
7♦ T♦,16
7♦ T♣,15
7♦ T♠,13
7♦ J♥,13
7♦ J♦,19
7♦ J♣,8
7♦ J♠,10
7♦ Q♥,15
7♦ Q♦,14
7♦ Q♣,13
7♦ Q♠,12
7♦ K♥,19
7♦ K♦,17
7♦ K♣,15
7♦ K♠,15
7♦ A♥,23
7♦ A♦,25
7♦ A♣,15
7♦ A♠,18
7♣ 2♥,4
7♣ 2♦,6
7♣ 2♣,10
7♣ 2♠,9
7♣ 3♥,15
7♣ 3♦,4
7♣ 3♣,14
7♣ 3♠,13
7♣ 4♥,15
7♣ 4♦,18
7♣ 4♣,17
7♣ 4♠,13
7♣ 5♥,10
7♣ 5♦,9
7♣ 5♣,13
7♣ 5♠,8
7♣ 6♥,10
7♣ 6♦,13
7♣ 6♣,16
7♣ 6♠,14
7♣ 7♥,10
7♣ 7♦,18
7♣ 7♠,19
7♣ 8♥,16
7♣ 8♦,14
7♣ 8♣,29
7♣ 8♠,11
7♣ 9♥,7
7♣ 9♦,12
7♣ 9♣,15
7♣ 9♠,10
7♣ T♥,17
7♣ T♦,20
7♣ T♣,19
7♣ T♠,16
7♣ J♥,15
7♣ J♦,16
7♣ J♣,19
7♣ J♠,15
7♣ Q♥,23
7♣ Q♦,18
7♣ Q♣,17
7♣ Q♠,14
7♣ K♥,16
7♣ K♦,24
7♣ K♣,20
7♣ K♠,18
7♣ A♥,18
7♣ A♦,16
7♣ A♣,23
7♣ A♠,19
7♠ 2♥,1
7♠ 2♦,6
7♠ 2♣,9
7♠ 2♠,14
7♠ 3♥,3
7♠ 3♦,7
7♠ 3♣,6
7♠ 3♠,12
7♠ 4♥,7
7♠ 4♦,8
7♠ 4♣,8
7♠ 4♠,16
7♠ 5♥,10
7♠ 5♦,12
7♠ 5♣,10
7♠ 5♠,17
7♠ 6♥,11
7♠ 6♦,11
7♠ 6♣,10
7♠ 6♠,19
7♠ 7♥,17
7♠ 7♦,17
7♠ 7♣,18
7♠ 8♥,11
7♠ 8♦,13
7♠ 8♣,18
7♠ 8♠,20
7♠ 9♥,15
7♠ 9♦,19
7♠ 9♣,17
7♠ 9♠,25
7♠ T♥,15
7♠ T♦,13
7♠ T♣,18
7♠ T♠,24
7♠ J♥,14
7♠ J♦,13
7♠ J♣,11
7♠ J♠,13
7♠ Q♥,15
7♠ Q♦,19
7♠ Q♣,15
7♠ Q♠,14
7♠ K♥,11
7♠ K♦,16
7♠ K♣,18
7♠ K♠,24
7♠ A♥,19
7♠ A♦,19
7♠ A♣,18
7♠ A♠,21
8♥ 2♥,11
8♥ 2♦,10
8♥ 2♣,13
8♥ 2♠,4
8♥ 3♥,8
8♥ 3♦,10
8♥ 3♣,6
8♥ 3♠,11
8♥ 4♥,20
8♥ 4♦,9
8♥ 4♣,11
8♥ 4♠,5
8♥ 5♥,16
8♥ 5♦,12
8♥ 5♣,9
8♥ 5♠,7
8♥ 6♥,13
8♥ 6♦,12
8♥ 6♣,11
8♥ 6♠,8
8♥ 7♥,16
8♥ 7♦,14
8♥ 7♣,17
8♥ 7♠,15
8♥ 8♦,28
8♥ 8♣,23
8♥ 8♠,19
8♥ 9♥,20
8♥ 9♦,17
8♥ 9♣,15
8♥ 9♠,15
8♥ T♥,18
8♥ T♦,17
8♥ T♣,17
8♥ T♠,15
8♥ J♥,16
8♥ J♦,17
8♥ J♣,19
8♥ J♠,19
8♥ Q♥,22
8♥ Q♦,20
8♥ Q♣,15
8♥ Q♠,18
8♥ K♥,23
8♥ K♦,18
8♥ K♣,24
8♥ K♠,16
8♥ A♥,28
8♥ A♦,24
8♥ A♣,25
8♥ A♠,19
8♦ 2♥,3
8♦ 2♦,12
8♦ 2♣,5
8♦ 2♠,12
8♦ 3♥,3
8♦ 3♦,9
8♦ 3♣,5
8♦ 3♠,8
8♦ 4♥,5
8♦ 4♦,12
8♦ 4♣,7
8♦ 4♠,7
8♦ 5♥,9
8♦ 5♦,19
8♦ 5♣,15
8♦ 5♠,13
8♦ 6♥,9
8♦ 6♦,13
8♦ 6♣,14
8♦ 6♠,18
8♦ 7♥,9
8♦ 7♦,16
8♦ 7♣,10
8♦ 7♠,12
8♦ 8♥,32
8♦ 8♣,23
8♦ 8♠,16
8♦ 9♥,17
8♦ 9♦,23
8♦ 9♣,18
8♦ 9♠,15
8♦ T♥,20
8♦ T♦,21
