card,wins
3♥ 3♣,24
3♥ 3♠,14
3♥ 4♥,7
3♥ 4♦,5
3♥ 4♣,2
3♥ 4♠,10
3♥ 5♥,13
3♥ 5♦,3
3♥ 5♣,8
3♥ 5♠,4
3♥ 6♥,11
3♥ 6♦,4
3♥ 6♣,3
3♥ 6♠,7
3♥ 7♥,4
3♥ 7♦,2
3♥ 7♣,7
3♥ 7♠,12
3♥ 8♥,12
3♥ 8♦,10
3♥ 8♣,5
3♥ 8♠,8
3♥ 9♥,4
3♥ 9♦,13
3♥ 9♣,8
3♥ 9♠,6
3♥ T♥,10
3♥ T♦,5
3♥ T♣,6
3♥ T♠,8
3♥ J♥,10
3♥ J♦,6
3♥ J♣,3
3♥ J♠,9
3♥ Q♥,11
3♥ Q♦,12
3♥ Q♣,14
3♥ Q♠,19
3♥ K♥,17
3♥ K♦,9
3♥ K♣,8
3♥ K♠,6
3♥ A♥,14
3♥ A♦,12
3♥ A♣,16
3♥ A♠,9
3♦ 3♣,19
3♦ 3♠,12
3♦ 4♥,7
3♦ 4♦,8
3♦ 4♣,6
3♦ 4♠,9
3♦ 5♥,6
3♦ 5♦,8
3♦ 5♣,10
3♦ 5♠,7
3♦ 6♥,9
3♦ 6♦,13
3♦ 6♣,6
3♦ 6♠,5
3♦ 7♥,6
3♦ 7♦,10
3♦ 7♣,6
3♦ 7♠,7
3♦ 8♥,8
3♦ 8♦,8
3♦ 8♣,6
3♦ 8♠,8
3♦ 9♥,8
3♦ 9♦,10
3♦ 9♣,8
3♦ 9♠,5
3♦ T♥,6
3♦ T♦,6
3♦ T♣,11
3♦ T♠,7
3♦ J♥,11
3♦ J♦,10
3♦ J♣,11
3♦ J♠,8
3♦ Q♥,3
3♦ Q♦,6
3♦ Q♣,13
3♦ Q♠,9
3♦ K♥,12
3♦ K♦,14
3♦ K♣,8
3♦ K♠,15
3♦ A♥,15
3♦ A♦,16
3♦ A♣,14
3♦ A♠,13
3♣ 3♠,14
3♣ 4♥,3
3♣ 4♦,6
3♣ 4♣,5
3♣ 4♠,8
3♣ 5♥,10
3♣ 5♦,2
3♣ 5♣,6
3♣ 5♠,6
3♣ 6♥,8
3♣ 6♦,5
3♣ 6♣,3
3♣ 6♠,8
3♣ 7♥,10
3♣ 7♦,5
3♣ 7♣,5
3♣ 7♠,9
3♣ 8♥,9
3♣ 8♦,10
3♣ 8♣,7
3♣ 8♠,9
3♣ 9♥,5
3♣ 9♦,12
3♣ 9♣,13
3♣ 9♠,11
3♣ T♥,9
3♣ T♦,5
3♣ T♣,10
3♣ T♠,9
3♣ J♥,11
3♣ J♦,11
3♣ J♣,8
3♣ J♠,8
3♣ Q♥,10
3♣ Q♦,14
3♣ Q♣,13
3♣ Q♠,7
3♣ K♥,11
3♣ K♦,13
3♣ K♣,8
3♣ K♠,7
3♣ A♥,10
3♣ A♦,10
3♣ A♣,22
3♣ A♠,8
3♠ 4♥,5
3♠ 4♦,7
3♠ 4♣,6
3♠ 4♠,8
3♠ 5♥,9
3♠ 5♦,5
3♠ 5♣,5
3♠ 5♠,4
3♠ 6♥,10
3♠ 6♦,6
3♠ 6♣,8
3♠ 6♠,8
3♠ 7♥,5
3♠ 7♦,8
3♠ 7♣,5
3♠ 7♠,10
3♠ 8♥,14
3♠ 8♦,7
3♠ 8♣,5
3♠ 8♠,11
3♠ 9♥,12
3♠ 9♦,4
3♠ 9♣,7
3♠ 9♠,8
3♠ T♥,6
3♠ T♦,11
3♠ T♣,8
3♠ T♠,11
3♠ J♥,3
3♠ J♦,11
3♠ J♣,8
3♠ J♠,8
3♠ Q♥,11
3♠ Q♦,8
3♠ Q♣,16
3♠ Q♠,12
3♠ K♥,12
3♠ K♦,13
3♠ K♣,8
3♠ K♠,7
3♠ A♥,10
3♠ A♦,13
3♠ A♣,13
3♠ A♠,15
4♥ 4♦,11
4♥ 4♣,15
4♥ 4♠,12
4♥ 5♥,8
4♥ 5♦,2
4♥ 5♣,9
4♥ 5♠,4
4♥ 6♥,9
4♥ 6♦,11
4♥ 6♣,8
4♥ 6♠,4
4♥ 7♥,9
4♥ 7♦,11
4♥ 7♣,9
4♥ 7♠,7
4♥ 8♥,5
4♥ 8♦,9
4♥ 8♣,8
4♥ 8♠,4
4♥ 9♥,10
4♥ 9♦,6
4♥ 9♣,5
4♥ 9♠,5
4♥ T♥,13
4♥ T♦,9
4♥ T♣,8
4♥ T♠,9
4♥ J♥,11
4♥ J♦,13
4♥ J♣,11
4♥ J♠,10
4♥ Q♥,13
4♥ Q♦,11
4♥ Q♣,14
4♥ Q♠,12
4♥ K♥,16
4♥ K♦,10
4♥ K♣,18
4♥ K♠,20
4♥ A♥,9
4♥ A♦,22
4♥ A♣,19
4♥ A♠,18
4♦ 4♣,18
4♦ 4♠,22
4♦ 5♥,8
4♦ 5♦,15
4♦ 5♣,11
4♦ 5♠,8
4♦ 6♥,13
4♦ 6♦,16
4♦ 6♣,10
4♦ 6♠,9
4♦ 7♥,6
4♦ 7♦,7
4♦ 7♣,6
4♦ 7♠,9
4♦ 8♥,12
4♦ 8♦,10
4♦ 8♣,9
4♦ 8♠,11
4♦ 9♥,5
4♦ 9♦,15
4♦ 9♣,4
4♦ 9♠,5
4♦ T♥,7
4♦ T♦,11
4♦ T♣,9
4♦ T♠,8
4♦ J♥,10
4♦ J♦,12
4♦ J♣,10
4♦ J♠,12
4♦ Q♥,10
4♦ Q♦,10
4♦ Q♣,11
4♦ Q♠,12
4♦ K♥,19
4♦ K♦,7
4♦ K♣,15
4♦ K♠,9
4♦ A♥,17
4♦ A♦,18
4♦ A♣,18
4♦ A♠,16
4♣ 4♠,17
4♣ 5♥,14
4♣ 5♦,2
4♣ 5♣,10
4♣ 5♠,9
4♣ 6♥,8
4♣ 6♦,9
4♣ 6♣,9
4♣ 6♠,8
4♣ 7♥,11
4♣ 7♦,7
4♣ 7♣,9
4♣ 7♠,7
4♣ 8♥,7
4♣ 8♦,7
4♣ 8♣,3
4♣ 8♠,11
4♣ 9♥,12
4♣ 9♦,5
4♣ 9♣,18
4♣ 9♠,8
4♣ T♥,9
4♣ T♦,7
4♣ T♣,7
4♣ T♠,14
4♣ J♥,6
4♣ J♦,9
4♣ J♣,9
4♣ J♠,13
4♣ Q♥,16
4♣ Q♦,15
4♣ Q♣,8
4♣ Q♠,10
4♣ K♥,12
4♣ K♦,11
4♣ K♣,13
4♣ K♠,12
4♣ A♥,16
4♣ A♦,9
4♣ A♣,15
4♣ A♠,20
4♠ 5♥,9
4♠ 5♦,8
4♠ 5♣,5
4♠ 5♠,6
4♠ 6♥,11
4♠ 6♦,14
4♠ 6♣,4
4♠ 6♠,10
4♠ 7♥,10
4♠ 7♦,6
4♠ 7♣,7
4♠ 7♠,8
4♠ 8♥,6
4♠ 8♦,6
4♠ 8♣,13
4♠ 8♠,6
4♠ 9♥,11
4♠ 9♦,8
4♠ 9♣,5
4♠ 9♠,10
4♠ T♥,5
4♠ T♦,10
4♠ T♣,6
4♠ T♠,11
4♠ J♥,10
4♠ J♦,7
4♠ J♣,7
4♠ J♠,8
4♠ Q♥,10
4♠ Q♦,14
4♠ Q♣,14
4♠ Q♠,12
4♠ K♥,19
4♠ K♦,11
4♠ K♣,13
4♠ K♠,11
4♠ A♥,19
4♠ A♦,10
4♠ A♣,22
4♠ A♠,17
5♥ 5♦,27
5♥ 5♣,14
5♥ 5♠,20
5♥ 6♥,9
5♥ 6♦,8
5♥ 6♣,6
5♥ 6♠,10
5♥ 7♥,11
5♥ 7♦,6
5♥ 7♣,8
5♥ 7♠,7
5♥ 8♥,9
5♥ 8♦,12
5♥ 8♣,16
5♥ 8♠,11
5♥ 9♥,9
5♥ 9♦,7
5♥ 9♣,11
5♥ 9♠,8
5♥ T♥,7
5♥ T♦,12
5♥ T♣,16
5♥ T♠,7
5♥ J♥,6
5♥ J♦,6
5♥ J♣,12
5♥ J♠,11
5♥ Q♥,17
5♥ Q♦,15
5♥ Q♣,16
5♥ Q♠,10
5♥ K♥,10
5♥ K♦,17
5♥ K♣,17
5♥ K♠,14
5♥ A♥,16
5♥ A♦,18
5♥ A♣,20
5♥ A♠,11
5♦ 5♣,23
5♦ 5♠,30
5♦ 6♥,7
5♦ 6♦,11
5♦ 6♣,11
5♦ 6♠,11
5♦ 7♥,2
5♦ 7♦,7
5♦ 7♣,14
5♦ 7♠,11
5♦ 8♥,8
5♦ 8♦,8
5♦ 8♣,10
5♦ 8♠,7
5♦ 9♥,6
5♦ 9♦,17
5♦ 9♣,9
5♦ 9♠,12
5♦ T♥,8
5♦ T♦,12
5♦ T♣,11
5♦ T♠,6
5♦ J♥,16
5♦ J♦,15
5♦ J♣,10
5♦ J♠,6
5♦ Q♥,11
5♦ Q♦,15
5♦ Q♣,9
5♦ Q♠,14
5♦ K♥,16
5♦ K♦,10
5♦ K♣,15
5♦ K♠,11
5♦ A♥,15
5♦ A♦,8
5♦ A♣,15
5♦ A♠,18
5♣ 5♠,27
5♣ 6♥,7
5♣ 6♦,7
5♣ 6♣,12
5♣ 6♠,10
5♣ 7♥,9
5♣ 7♦,4
5♣ 7♣,11
5♣ 7♠,7
5♣ 8♥,11
5♣ 8♦,7
5♣ 8♣,15
5♣ 8♠,11
5♣ 9♥,10
5♣ 9♦,11
5♣ 9♣,10
5♣ 9♠,5
5♣ T♥,15
5♣ T♦,6
5♣ T♣,15
5♣ T♠,10
5♣ J♥,7
5♣ J♦,17
5♣ J♣,14
5♣ J♠,14
5♣ Q♥,9
5♣ Q♦,8
5♣ Q♣,9
5♣ Q♠,11
5♣ K♥,17
5♣ K♦,19
5♣ K♣,13
5♣ K♠,16
5♣ A♥,15
5♣ A♦,23
5♣ A♣,11
5♣ A♠,21
5♠ 6♥,8
5♠ 6♦,9
5♠ 6♣,7
5♠ 6♠,10
5♠ 7♥,9
5♠ 7♦,11
5♠ 7♣,9
5♠ 7♠,10
5♠ 8♥,7
5♠ 8♦,8
5♠ 8♣,4
5♠ 8♠,8
5♠ 9♥,5
5♠ 9♦,10
5♠ 9♣,4
5♠ 9♠,8
5♠ T♥,9
5♠ T♦,15
5♠ T♣,7
5♠ T♠,11
5♠ J♥,9
5♠ J♦,10
5♠ J♣,18
5♠ J♠,10
5♠ Q♥,10
5♠ Q♦,13
5♠ Q♣,13
5♠ Q♠,11
5♠ K♥,12
5♠ K♦,11
5♠ K♣,15
5♠ K♠,18
5♠ A♥,25
5♠ A♦,13
5♠ A♣,16
5♠ A♠,13
6♥ 6♦,27
6♥ 6♣,26
6♥ 6♠,27
6♥ 7♥,8
6♥ 7♦,12
6♥ 7♣,7
6♥ 7♠,12
6♥ 8♥,11
6♥ 8♦,9
6♥ 8♣,8
6♥ 8♠,7
6♥ 9♥,13
6♥ 9♦,14
6♥ 9♣,12
6♥ 9♠,10
6♥ T♥,12
6♥ T♦,10
6♥ T♣,11
6♥ T♠,11
6♥ J♥,15
6♥ J♦,11
6♥ J♣,12
6♥ J♠,12
6♥ Q♥,16
6♥ Q♦,17
6♥ Q♣,16
6♥ Q♠,18
6♥ K♥,15
6♥ K♦,19
6♥ K♣,18
6♥ K♠,13
6♥ A♥,18
6♥ A♦,19
6♥ A♣,24
6♥ A♠,10
6♦ 6♣,26
6♦ 6♠,26
6♦ 7♥,7
6♦ 7♦,12
6♦ 7♣,13
6♦ 7♠,10
6♦ 8♥,15
6♦ 8♦,7
6♦ 8♣,16
6♦ 8♠,14
6♦ 9♥,13
6♦ 9♦,7
6♦ 9♣,10
6♦ 9♠,14
6♦ T♥,10
6♦ T♦,10
6♦ T♣,12
6♦ T♠,19
6♦ J♥,10
6♦ J♦,17
6♦ J♣,17
6♦ J♠,12
6♦ Q♥,22
6♦ Q♦,20
6♦ Q♣,9
6♦ Q♠,11
6♦ K♥,18
6♦ K♦,17
6♦ K♣,27
6♦ K♠,12
6♦ A♥,20
6♦ A♦,17
6♦ A♣,20
6♦ A♠,18
6♣ 6♠,28
6♣ 7♥,13
6♣ 7♦,9
6♣ 7♣,10
6♣ 7♠,4
6♣ 8♥,16
6♣ 8♦,8
6♣ 8♣,7
6♣ 8♠,10
6♣ 9♥,13
6♣ 9♦,7
6♣ 9♣,11
6♣ 9♠,8
6♣ T♥,8
6♣ T♦,11
6♣ T♣,16
6♣ T♠,14
6♣ J♥,16
6♣ J♦,11
6♣ J♣,13
6♣ J♠,12
6♣ Q♥,11
6♣ Q♦,14
6♣ Q♣,20
6♣ Q♠,15
6♣ K♥,19
6♣ K♦,19
6♣ K♣,18
6♣ K♠,18
6♣ A♥,16
6♣ A♦,16
6♣ A♣,22
6♣ A♠,24
6♠ 7♥,8
6♠ 7♦,6
6♠ 7♣,7
6♠ 7♠,5
6♠ 8♥,11
6♠ 8♦,10
6♠ 8♣,9
6♠ 8♠,9
6♠ 9♥,11
6♠ 9♦,15
6♠ 9♣,15
6♠ 9♠,9
6♠ T♥,12
6♠ T♦,7
6♠ T♣,13
6♠ T♠,14
6♠ J♥,17
6♠ J♦,14
6♠ J♣,12
6♠ J♠,16
6♠ Q♥,8
6♠ Q♦,12
6♠ Q♣,22
6♠ Q♠,14
6♠ K♥,18
6♠ K♦,16
6♠ K♣,12
6♠ K♠,15
6♠ A♥,26
6♠ A♦,14
6♠ A♣,21
6♠ A♠,23
7♥ 7♦,29
7♥ 7♣,32
7♥ 7♠,26
7♥ 8♥,11
7♥ 8♦,16
7♥ 8♣,9
7♥ 8♠,8
7♥ 9♥,13
7♥ 9♦,7
7♥ 9♣,13
7♥ 9♠,17
7♥ T♥,16
7♥ T♦,19
7♥ T♣,18
7♥ T♠,12
7♥ J♥,25
7♥ J♦,24
7♥ J♣,8
7♥ J♠,10
7♥ Q♥,14
7♥ Q♦,19
7♥ Q♣,9
7♥ Q♠,18
7♥ K♥,24
7♥ K♦,27
7♥ K♣,10
7♥ K♠,25
7♥ A♥,19
7♥ A♦,21
7♥ A♣,24
7♥ A♠,27
7♦ 7♣,26
7♦ 7♠,27
7♦ 8♥,7
7♦ 8♦,9
7♦ 8♣,10
7♦ 8♠,15
7♦ 9♥,14
7♦ 9♦,10
7♦ 9♣,13
7♦ 9♠,14
7♦ T♥,12
7♦ T♦,11
7♦ T♣,7
7♦ T♠,14
7♦ J♥,15
7♦ J♦,15
7♦ J♣,21
7♦ J♠,15
7♦ Q♥,23
7♦ Q♦,12
7♦ Q♣,13
7♦ Q♠,16
7♦ K♥,19
7♦ K♦,23
7♦ K♣,18
7♦ K♠,24
7♦ A♥,12
7♦ A♦,22
7♦ A♣,28
7♦ A♠,19
7♣ 7♠,24
7♣ 8♥,8
7♣ 8♦,6
7♣ 8♣,14
7♣ 8♠,12
7♣ 9♥,16
7♣ 9♦,13
7♣ 9♣,9
7♣ 9♠,11
7♣ T♥,14
7♣ T♦,19
7♣ T♣,12
7♣ T♠,20
7♣ J♥,17
7♣ J♦,18
7♣ J♣,15
7♣ J♠,19
7♣ Q♥,21
7♣ Q♦,12
7♣ Q♣,16
7♣ Q♠,15
7♣ K♥,17
7♣ K♦,11
7♣ K♣,17
7♣ K♠,15
7♣ A♥,16
7♣ A♦,15
7♣ A♣,23
7♣ A♠,26
7♠ 8♥,9
7♠ 8♦,11
7♠ 8♣,12
7♠ 8♠,14
7♠ 9♥,21
7♠ 9♦,9
7♠ 9♣,10
7♠ 9♠,14
7♠ T♥,14
7♠ T♦,13
7♠ T♣,10
7♠ T♠,12
7♠ J♥,6
7♠ J♦,6
7♠ J♣,21
7♠ J♠,15
7♠ Q♥,17
7♠ Q♦,19
7♠ Q♣,12
7♠ Q♠,18
7♠ K♥,19
7♠ K♦,20
7♠ K♣,16
7♠ K♠,12
7♠ A♥,19
7♠ A♦,20
7♠ A♣,23
7♠ A♠,29
8♥ 8♦,31
8♥ 8♣,34
8♥ 8♠,30
8♥ 9♥,16
8♥ 9♦,12
8♥ 9♣,19
8♥ 9♠,20
8♥ T♥,14
8♥ T♦,14
8♥ T♣,19
8♥ T♠,17
8♥ J♥,16
8♥ J♦,19
8♥ J♣,18
8♥ J♠,19
8♥ Q♥,14
8♥ Q♦,25
8♥ Q♣,19
8♥ Q♠,18
8♥ K♥,23
8♥ K♦,17
8♥ K♣,20
8♥ K♠,16
8♥ A♥,22
8♥ A♦,26
8♥ A♣,24
8♥ A♠,26
8♦ 8♣,32
8♦ 8♠,37
8♦ 9♥,10
8♦ 9♦,13
8♦ 9♣,20
8♦ 9♠,20
8♦ T♥,12
8♦ T♦,16
8♦ T♣,20
8♦ T♠,13
8♦ J♥,21
8♦ J♦,19
8♦ J♣,11
8♦ J♠,14
8♦ Q♥,20
8♦ Q♦,21
8♦ Q♣,23
8♦ Q♠,20
8♦ K♥,22
8♦ K♦,23
8♦ K♣,25
8♦ K♠,14
8♦ A♥,16
8♦ A♦,31
8♦ A♣,31
8♦ A♠,21
8♣ 8♠,38
8♣ 9♥,13
8♣ 9♦,15
8♣ 9♣,12
8♣ 9♠,10
8♣ T♥,14
8♣ T♦,25
8♣ T♣,13
8♣ T♠,10
8♣ J♥,17
8♣ J♦,20
8♣ J♣,20
8♣ J♠,16
8♣ Q♥,15
8♣ Q♦,23
8♣ Q♣,15
8♣ Q♠,19
8♣ K♥,21
8♣ K♦,26
8♣ K♣,26
8♣ K♠,22
8♣ A♥,25
8♣ A♦,21
8♣ A♣,21
8♣ A♠,27
8♠ 9♥,16
8♠ 9♦,16
8♠ 9♣,16
8♠ 9♠,10
8♠ T♥,16
8♠ T♦,18
8♠ T♣,18
8♠ T♠,15
8♠ J♥,16
8♠ J♦,21
8♠ J♣,17
8♠ J♠,15
8♠ Q♥,22
8♠ Q♦,10
8♠ Q♣,20
8♠ Q♠,23
8♠ K♥,16
8♠ K♦,22
8♠ K♣,23
8♠ K♠,25
8♠ A♥,23
8♠ A♦,19
8♠ A♣,21
8♠ A♠,27
9♥ 9♦,44
9♥ 9♣,40
9♥ 9♠,47
9♥ T♥,12
9♥ T♦,20
9♥ T♣,16
9♥ T♠,23
9♥ J♥,16
9♥ J♦,26
9♥ J♣,21
9♥ J♠,23
9♥ Q♥,20
9♥ Q♦,29
9♥ Q♣,24
9♥ Q♠,29
9♥ K♥,20
9♥ K♦,35
9♥ K♣,22
9♥ K♠,20
9♥ A♥,31
9♥ A♦,21
9♥ A♣,21
9♥ A♠,26
9♦ 9♣,39
9♦ 9♠,50
9♦ T♥,15
9♦ T♦,17
9♦ T♣,24
9♦ T♠,24
9♦ J♥,13
9♦ J♦,16
9♦ J♣,23
9♦ J♠,26
9♦ Q♥,25
9♦ Q♦,19
9♦ Q♣,23
9♦ Q♠,19
9♦ K♥,23
9♦ K♦,23
9♦ K♣,24
9♦ K♠,27
9♦ A♥,28
9♦ A♦,23
9♦ A♣,37
9♦ A♠,19
9♣ 9♠,45
9♣ T♥,16
9♣ T♦,19
9♣ T♣,9
9♣ T♠,21
9♣ J♥,16
9♣ J♦,19
9♣ J♣,19
9♣ J♠,18
9♣ Q♥,20
9♣ Q♦,22
9♣ Q♣,23
9♣ Q♠,14
9♣ K♥,26
9♣ K♦,19
9♣ K♣,17
9♣ K♠,24
9♣ A♥,27
9♣ A♦,19
9♣ A♣,30
9♣ A♠,20
9♠ T♥,20
9♠ T♦,9
9♠ T♣,20
9♠ T♠,21
9♠ J♥,17
9♠ J♦,11
9♠ J♣,23
9♠ J♠,19
9♠ Q♥,24
9♠ Q♦,24
9♠ Q♣,23
9♠ Q♠,23
9♠ K♥,19
9♠ K♦,21
9♠ K♣,19
9♠ K♠,30
9♠ A♥,29
9♠ A♦,33
9♠ A♣,21
9♠ A♠,20
T♥ T♦,63
T♥ T♣,47
T♥ T♠,48
T♥ J♥,24
T♥ J♦,23
T♥ J♣,24
T♥ J♠,24
T♥ Q♥,30
T♥ Q♦,22
T♥ Q♣,26
T♥ Q♠,20
T♥ K♥,27
T♥ K♦,28
T♥ K♣,33
T♥ K♠,28
T♥ A♥,27
T♥ A♦,28
T♥ A♣,32
T♥ A♠,30
T♦ T♣,55
T♦ T♠,56
T♦ J♥,18
T♦ J♦,19
T♦ J♣,21
T♦ J♠,20
T♦ Q♥,18
T♦ Q♦,23
T♦ Q♣,25
T♦ Q♠,24
T♦ K♥,22
T♦ K♦,27
T♦ K♣,23
T♦ K♠,31
T♦ A♥,21
T♦ A♦,24
T♦ A♣,31
T♦ A♠,24
T♣ T♠,54
T♣ J♥,23
T♣ J♦,18
T♣ J♣,19
T♣ J♠,18
T♣ Q♥,24
T♣ Q♦,18
T♣ Q♣,30
T♣ Q♠,28
T♣ K♥,27
T♣ K♦,23
T♣ K♣,31
T♣ K♠,29
T♣ A♥,27
T♣ A♦,28
T♣ A♣,31
T♣ A♠,27
T♠ J♥,16
T♠ J♦,20
T♠ J♣,16
T♠ J♠,31
T♠ Q♥,23
T♠ Q♦,18
T♠ Q♣,22
T♠ Q♠,22
T♠ K♥,21
T♠ K♦,23
T♠ K♣,23
T♠ K♠,36
T♠ A♥,33
T♠ A♦,22
T♠ A♣,29
T♠ A♠,29
J♥ J♦,65
J♥ J♣,62
J♥ J♠,67
J♥ Q♥,35
J♥ Q♦,24
J♥ Q♣,25
J♥ Q♠,42
J♥ K♥,30
J♥ K♦,29
J♥ K♣,23
J♥ K♠,29
J♥ A♥,28
J♥ A♦,32
J♥ A♣,33
J♥ A♠,24
J♦ J♣,63
J♦ J♠,59
J♦ Q♥,23
J♦ Q♦,27
J♦ Q♣,29
J♦ Q♠,30
J♦ K♥,28
J♦ K♦,35
J♦ K♣,25
J♦ K♠,22
J♦ A♥,27
J♦ A♦,25
J♦ A♣,34
J♦ A♠,29
J♣ J♠,69
J♣ Q♥,29
J♣ Q♦,24
J♣ Q♣,27
J♣ Q♠,27
J♣ K♥,30
J♣ K♦,25
J♣ K♣,35
J♣ K♠,25
J♣ A♥,32
J♣ A♦,29
J♣ A♣,32
J♣ A♠,34
J♠ Q♥,26
J♠ Q♦,29
J♠ Q♣,28
J♠ Q♠,27
J♠ K♥,26
J♠ K♦,30
J♠ K♣,23
J♠ K♠,18
J♠ A♥,28
J♠ A♦,24
J♠ A♣,25
J♠ A♠,28
Q♥ Q♦,70
Q♥ Q♣,63
Q♥ Q♠,67
Q♥ K♥,36
Q♥ K♦,30
Q♥ K♣,28
Q♥ K♠,29
Q♥ A♥,38
Q♥ A♦,32
Q♥ A♣,40
Q♥ A♠,25
Q♦ Q♣,71
Q♦ Q♠,82
Q♦ K♥,34
Q♦ K♦,26
Q♦ K♣,37
Q♦ K♠,28
Q♦ A♥,32
Q♦ A♦,34
Q♦ A♣,35
Q♦ A♠,32
Q♣ Q♠,66
Q♣ K♥,33
Q♣ K♦,30
Q♣ K♣,31
Q♣ K♠,21
Q♣ A♥,39
Q♣ A♦,38
Q♣ A♣,32
Q♣ A♠,31
Q♠ K♥,29
Q♠ K♦,29
Q♠ K♣,34
Q♠ K♠,31
Q♠ A♥,29
Q♠ A♦,27
Q♠ A♣,29
Q♠ A♠,29
K♥ K♦,76
K♥ K♣,68
K♥ K♠,81
K♥ A♥,32
K♥ A♦,33
K♥ A♣,32
K♥ A♠,31
K♦ K♣,81
K♦ K♠,70
K♦ A♥,35
K♦ A♦,41
K♦ A♣,21
K♦ A♠,24
K♣ K♠,83
K♣ A♥,28
K♣ A♦,34
K♣ A♣,24
K♣ A♠,29
K♠ A♥,31
K♠ A♦,42
K♠ A♣,33
K♠ A♠,32
A♥ A♦,83
A♥ A♣,79
A♥ A♠,77
A♦ A♣,78
A♦ A♠,78
A♣ A♠,76
